dimension_index,dimension_label,positive_terms,negative_terms,absolute_terms
38,39,"care (0.216), muslim (0.175), muslims (0.165), students (0.163), disabled (0.134), isis (0.126), eu (0.111), universities (0.105), university (0.101), biden (0.088)","schools (-0.176), bbc (-0.174), housing (-0.160), nuclear (-0.150), police (-0.146), asylum (-0.134), iran (-0.129), refugees (-0.119), corbyn (-0.112), abortion (-0.111)","care (0.216), schools (-0.176), muslim (0.175), bbc (-0.174), muslims (0.165), students (0.163), housing (-0.160), nuclear (-0.150), police (-0.146), disabled (0.134)"
39,40,"tax (0.218), ai (0.136), nuclear (0.132), muslim (0.125), police (0.124), muslims (0.116), immigration (0.110), work (0.108), british (0.102), biden (0.091)","food (-0.152), care (-0.141), johnson (-0.132), nhs (-0.114), black (-0.113), sexual (-0.111), corbyn (-0.110), crisis (-0.103), court (-0.103), debt (-0.102)","tax (0.218), food (-0.152), care (-0.141), ai (0.136), nuclear (0.132), johnson (-0.132), muslim (0.125), police (0.124), muslims (0.116), nhs (-0.114)"
40,41,"biden (0.219), mental (0.206), abortion (0.162), health (0.141), facebook (0.121), deal (0.120), football (0.119), mps (0.117), brexit (0.114), corbyn (0.112)","bbc (-0.107), british (-0.103), food (-0.098), it's (-0.092), ireland (-0.089), system (-0.086), cameron (-0.083), patients (-0.078), lib (-0.078), women (-0.076)","biden (0.219), mental (0.206), abortion (0.162), health (0.141), facebook (0.121), deal (0.120), football (0.119), mps (0.117), brexit (0.114), corbyn (0.112)"
41,42,"nuclear (0.260), care (0.232), food (0.211), iran (0.184), energy (0.130), corbyn (0.126), disabled (0.115), sanders (0.111), johnson (0.109), antisemitism (0.100)","mental (-0.178), climate (-0.142), housing (-0.129), health (-0.129), trans (-0.128), workers (-0.123), isis (-0.112), tory (-0.099), tax (-0.091), tories (-0.085)","nuclear (0.260), care (0.232), food (0.211), iran (0.184), mental (-0.178), climate (-0.142), energy (0.130), housing (-0.129), health (-0.129), trans (-0.128)"
42,43,"church (0.214), party (0.210), abortion (0.179), bbc (0.157), tory (0.130), eu (0.112), catholic (0.108), sexual (0.105), cameron (0.104), pope (0.104)","french (-0.203), macron (-0.194), france (-0.153), football (-0.148), le (-0.127), labour (-0.126), johnson (-0.123), starmer (-0.101), court (-0.099), brexit (-0.086)","church (0.214), party (0.210), french (-0.203), macron (-0.194), abortion (0.179), bbc (0.157), france (-0.153), football (-0.148), tory (0.130), le (-0.127)"
43,44,"biden (0.290), food (0.237), french (0.131), sexual (0.121), macron (0.121), housing (0.110), workers (0.099), sex (0.097), indigenous (0.094), starmer (0.092)","football (-0.162), clinton (-0.130), trans (-0.125), party (-0.117), sanders (-0.097), prison (-0.091), sport (-0.085), russian (-0.078), financial (-0.076), mental (-0.076)","biden (0.290), food (0.237), football (-0.162), french (0.131), clinton (-0.130), trans (-0.125), sexual (0.121), macron (0.121), party (-0.117), housing (0.110)"
44,45,"trans (0.390), police (0.213), gender (0.168), food (0.156), gay (0.121), patients (0.121), bbc (0.096), rights (0.096), transgender (0.090), cancer (0.088)","health (-0.165), mental (-0.163), sexual (-0.150), court (-0.139), rape (-0.120), it's (-0.093), abortion (-0.091), abuse (-0.091), workers (-0.087), china (-0.086)","trans (0.390), police (0.213), gender (0.168), health (-0.165), mental (-0.163), food (0.156), sexual (-0.150), court (-0.139), gay (0.121), patients (0.121)"
45,46,"football (0.208), disabled (0.193), ai (0.129), patients (0.122), abortion (0.117), church (0.109), people (0.106), disability (0.103), sport (0.097), game (0.092)","health (-0.167), party (-0.139), mental (-0.125), government (-0.106), iran (-0.105), public (-0.100), nuclear (-0.095), social (-0.091), tax (-0.089), political (-0.079)","football (0.208), disabled (0.193), health (-0.167), party (-0.139), ai (0.129), mental (-0.125), patients (0.122), abortion (0.117), church (0.109), people (0.106)"
46,47,"care (0.255), football (0.226), ai (0.178), police (0.164), party (0.135), game (0.116), sport (0.112), players (0.095), fans (0.087), it's (0.087)","johnson (-0.153), facebook (-0.124), nuclear (-0.117), north (-0.099), schools (-0.098), patients (-0.093), people (-0.093), london (-0.085), school (-0.084), public (-0.083)","care (0.255), football (0.226), ai (0.178), police (0.164), johnson (-0.153), party (0.135), facebook (-0.124), nuclear (-0.117), game (0.116), sport (0.112)"
47,48,"bbc (0.265), johnson (0.225), patients (0.129), tax (0.111), cancer (0.101), biden (0.092), ai (0.091), johnson's (0.091), patient (0.087), muslim (0.081)","facebook (-0.158), sanders (-0.154), cameron (-0.146), clinton (-0.142), nhs (-0.137), royal (-0.131), prince (-0.129), britain (-0.128), health (-0.128), british (-0.121)","bbc (0.265), johnson (0.225), facebook (-0.158), sanders (-0.154), cameron (-0.146), clinton (-0.142), nhs (-0.137), royal (-0.131), prince (-0.129), patients (0.129)"
48,49,"church (0.240), johnson (0.137), vote (0.136), bbc (0.121), catholic (0.115), labour (0.110), pope (0.109), health (0.103), parliament (0.087), mps (0.084)","trans (-0.211), party (-0.181), prison (-0.152), brexit (-0.145), disabled (-0.142), tory (-0.105), ai (-0.104), sunak (-0.101), energy (-0.089), court (-0.085)","church (0.240), trans (-0.211), party (-0.181), prison (-0.152), brexit (-0.145), disabled (-0.142), johnson (0.137), vote (0.136), bbc (0.121), catholic (0.115)"
49,50,"biden (0.305), energy (0.114), britain (0.108), british (0.108), democracy (0.106), schools (0.105), people (0.102), disabled (0.101), patients (0.099), biden's (0.099)","sanders (-0.269), clinton (-0.266), sex (-0.123), macron (-0.121), french (-0.118), care (-0.109), hillary (-0.095), black (-0.092), isis (-0.091), students (-0.087)","biden (0.305), sanders (-0.269), clinton (-0.266), sex (-0.123), macron (-0.121), french (-0.118), energy (0.114), care (-0.109), britain (0.108), british (0.108)"
