dimension_index,dimension_label,positive_terms,negative_terms,absolute_terms
82,83,"christmas (0.245), sex (0.178), young (0.159), musk (0.141), mental (0.113), corbyn (0.101), men (0.100), patients (0.095), eu (0.095), abortion (0.082)","drug (-0.167), drugs (-0.163), disabled (-0.139), gay (-0.126), marriage (-0.103), violence (-0.101), film (-0.099), alcohol (-0.094), nhs (-0.093), ai (-0.092)","christmas (0.245), sex (0.178), drug (-0.167), drugs (-0.163), young (0.159), musk (0.141), disabled (-0.139), gay (-0.126), mental (0.113), marriage (-0.103)"
83,84,"hong (0.167), growth (0.125), kong (0.122), vaccine (0.108), facebook (0.099), immigration (0.099), lib (0.084), grenfell (0.083), prison (0.082), city (0.082)","drug (-0.151), trade (-0.146), drugs (-0.144), corbyn (-0.136), social (-0.108), sunak (-0.103), saudi (-0.103), violence (-0.096), voters (-0.088), lockdown (-0.086)","hong (0.167), drug (-0.151), trade (-0.146), drugs (-0.144), corbyn (-0.136), growth (0.125), kong (0.122), vaccine (0.108), social (-0.108), sunak (-0.103)"
84,85,"sex (0.172), london (0.134), transport (0.121), lib (0.111), rights (0.101), inquiry (0.098), public (0.087), dems (0.084), rail (0.080), aboriginal (0.080)","local (-0.139), violence (-0.130), men (-0.111), gay (-0.110), government (-0.107), musk (-0.100), germany (-0.097), german (-0.096), water (-0.093), science (-0.093)","sex (0.172), local (-0.139), london (0.134), violence (-0.130), transport (0.121), lib (0.111), men (-0.111), gay (-0.110), government (-0.107), rights (0.101)"
85,86,"sex (0.198), nhs (0.157), drug (0.156), drugs (0.153), hong (0.138), work (0.124), facebook (0.114), law (0.110), kong (0.100), fire (0.088)","data (-0.139), taliban (-0.121), afghanistan (-0.113), film (-0.111), gay (-0.111), vote (-0.110), public (-0.095), patients (-0.094), marriage (-0.093), deal (-0.089)","sex (0.198), nhs (0.157), drug (0.156), drugs (0.153), data (-0.139), hong (0.138), work (0.124), taliban (-0.121), facebook (0.114), afghanistan (-0.113)"
86,87,"corbyn (0.208), water (0.177), lib (0.163), disabled (0.141), dems (0.125), media (0.104), britain (0.101), doctors (0.097), gay (0.095), men (0.093)","party (-0.157), war (-0.128), farage (-0.108), starmer (-0.108), vote (-0.093), care (-0.088), deal (-0.078), facebook (-0.077), work (-0.073), said (-0.070)","corbyn (0.208), water (0.177), lib (0.163), party (-0.157), disabled (0.141), war (-0.128), dems (0.125), farage (-0.108), starmer (-0.108), media (0.104)"
87,88,"ai (0.140), facebook (0.136), taliban (0.129), afghanistan (0.122), pay (0.120), mental (0.110), uk (0.099), white (0.095), deal (0.094), afghan (0.089)","data (-0.126), i'm (-0.119), christmas (-0.114), economy (-0.103), turkey (-0.101), nhs (-0.096), cameron (-0.095), letters (-0.094), refugees (-0.092), disabled (-0.092)","ai (0.140), facebook (0.136), taliban (0.129), data (-0.126), afghanistan (0.122), pay (0.120), i'm (-0.119), christmas (-0.114), mental (0.110), economy (-0.103)"
88,89,"musk (0.257), saudi (0.158), food (0.150), sunak (0.136), corbyn (0.115), vaccine (0.101), twitter (0.099), men (0.098), uk (0.088), english (0.083)","cameron (-0.153), taliban (-0.122), water (-0.121), afghanistan (-0.111), drug (-0.105), drugs (-0.102), farage (-0.097), afghan (-0.084), rights (-0.080), antisemitism (-0.079)","musk (0.257), saudi (0.158), cameron (-0.153), food (0.150), sunak (0.136), taliban (-0.122), water (-0.121), corbyn (0.115), afghanistan (-0.111), drug (-0.105)"
89,90,"musk (0.230), rights (0.208), human (0.122), white (0.110), deal (0.110), hong (0.104), marriage (0.099), twitter (0.091), racism (0.090), taliban (0.082)","water (-0.181), sex (-0.174), saudi (-0.168), farage (-0.149), men (-0.122), black (-0.119), jewish (-0.108), antisemitism (-0.101), jews (-0.099), work (-0.087)","musk (0.230), rights (0.208), water (-0.181), sex (-0.174), saudi (-0.168), farage (-0.149), human (0.122), men (-0.122), black (-0.119), white (0.110)"
90,91,"facebook (0.204), white (0.122), arts (0.119), christmas (0.115), public (0.111), ai (0.109), lib (0.107), racism (0.105), art (0.104), sex (0.093)","musk (-0.176), grenfell (-0.156), fire (-0.142), inquiry (-0.119), black (-0.111), new (-0.096), system (-0.086), tower (-0.082), britain (-0.075), farage (-0.074)","facebook (0.204), musk (-0.176), grenfell (-0.156), fire (-0.142), white (0.122), inquiry (-0.119), arts (0.119), christmas (0.115), public (0.111), black (-0.111)"
91,92,"data (0.185), trade (0.177), speech (0.112), free (0.103), deal (0.100), art (0.096), information (0.089), mental (0.084), journalists (0.078), arts (0.075)","facebook (-0.159), cancer (-0.150), uk (-0.133), eu (-0.113), books (-0.111), saudi (-0.107), book (-0.103), english (-0.101), system (-0.100), wales (-0.095)","data (0.185), trade (0.177), facebook (-0.159), cancer (-0.150), uk (-0.133), eu (-0.113), speech (0.112), books (-0.111), saudi (-0.107), book (-0.103)"
92,93,"uk (0.169), asylum (0.163), cancer (0.142), london (0.101), men (0.098), violence (0.096), fossil (0.092), rights (0.090), nhs (0.089), science (0.089)","water (-0.145), marriage (-0.136), immigration (-0.121), books (-0.104), pay (-0.100), speech (-0.094), mental (-0.091), aid (-0.089), book (-0.087), drug (-0.086)","uk (0.169), asylum (0.163), water (-0.145), cancer (0.142), marriage (-0.136), immigration (-0.121), books (-0.104), london (0.101), pay (-0.100), men (0.098)"
93,94,"music (0.212), data (0.137), water (0.121), black (0.120), trade (0.111), marriage (0.110), war (0.107), politics (0.095), cameron (0.091), sexual (0.087)","books (-0.156), men (-0.148), white (-0.142), book (-0.137), sunak (-0.136), violence (-0.117), sanders (-0.095), grenfell (-0.091), reading (-0.085), hong (-0.083)","music (0.212), books (-0.156), men (-0.148), white (-0.142), book (-0.137), data (0.137), sunak (-0.136), water (0.121), black (0.120), violence (-0.117)"
94,95,"farage (0.210), musk (0.178), public (0.148), men (0.135), european (0.092), workers (0.086), clinton (0.085), ukip (0.081), energy (0.080), twitter (0.079)","corbyn (-0.183), marriage (-0.145), sunak (-0.131), vaccine (-0.098), new (-0.093), eu (-0.090), it's (-0.088), lib (-0.085), north (-0.085), class (-0.082)","farage (0.210), corbyn (-0.183), musk (0.178), public (0.148), marriage (-0.145), men (0.135), sunak (-0.131), vaccine (-0.098), new (-0.093), european (0.092)"
95,96,"sunak (0.180), brexit (0.125), corbyn (0.121), farage (0.120), isis (0.111), trade (0.103), vote (0.102), bill (0.095), white (0.095), women (0.088)","deal (-0.155), men (-0.144), north (-0.131), korea (-0.112), science (-0.110), britain (-0.107), british (-0.107), eu (-0.105), climate (-0.097), it's (-0.096)","sunak (0.180), deal (-0.155), men (-0.144), north (-0.131), brexit (0.125), corbyn (0.121), farage (0.120), korea (-0.112), isis (0.111), science (-0.110)"
96,97,"violence (0.158), saudi (0.136), sex (0.119), it's (0.119), minister (0.117), prime (0.117), republican (0.098), uk (0.098), london (0.097), black (0.091)","white (-0.141), sexual (-0.117), sunak (-0.117), muslim (-0.116), muslims (-0.115), men (-0.105), democracy (-0.100), gay (-0.099), war (-0.098), eu (-0.092)","violence (0.158), white (-0.141), saudi (0.136), sex (0.119), it's (0.119), sexual (-0.117), minister (0.117), prime (0.117), sunak (-0.117), muslim (-0.116)"
97,98,"green (0.148), energy (0.147), public (0.140), data (0.139), drug (0.131), drugs (0.125), lib (0.121), dog (0.106), starmer (0.097), dogs (0.095)","clinton (-0.141), government (-0.127), tory (-0.113), tories (-0.104), labour (-0.088), violence (-0.087), baby (-0.083), it's (-0.083), turkey (-0.083), europe (-0.078)","green (0.148), energy (0.147), clinton (-0.141), public (0.140), data (0.139), drug (0.131), government (-0.127), drugs (0.125), lib (0.121), tory (-0.113)"
98,99,"cancer (0.274), water (0.184), marriage (0.127), aid (0.111), uk (0.107), politics (0.104), workers (0.104), nuclear (0.103), racism (0.087), political (0.086)","drug (-0.143), doctors (-0.135), drugs (-0.132), music (-0.101), animals (-0.097), policy (-0.094), dog (-0.093), rail (-0.090), dogs (-0.089), transport (-0.085)","cancer (0.274), water (0.184), drug (-0.143), doctors (-0.135), drugs (-0.132), marriage (0.127), aid (0.111), uk (0.107), politics (0.104), workers (0.104)"
99,100,"speech (0.185), water (0.158), men (0.144), cancer (0.137), music (0.123), companies (0.107), isis (0.093), free (0.088), nhs (0.087), right (0.086)","marriage (-0.139), violence (-0.133), new (-0.120), doctors (-0.117), science (-0.116), facebook (-0.105), political (-0.097), dog (-0.097), turkey (-0.092), energy (-0.087)","speech (0.185), water (0.158), men (0.144), marriage (-0.139), cancer (0.137), violence (-0.133), music (0.123), new (-0.120), doctors (-0.117), science (-0.116)"
